symbol,date,premium_score,risk_score,quadrant,spot,expiration_14,premium_atm_14,iv_atm_14,premium_slight_14,iv_slight_14,premium_moderate_14,iv_moderate_14,premium_far_14,iv_far_14,expiration_30,premium_atm_30,iv_atm_30,premium_slight_30,iv_slight_30,premium_moderate_30,iv_moderate_30,premium_far_30,iv_far_30,expiration_45,premium_atm_45,iv_atm_45,premium_slight_45,iv_slight_45,premium_moderate_45,iv_moderate_45,premium_far_45,iv_far_45,expiration_over60_1,premium_atm_over60_1,iv_atm_over60_1,premium_slight_over60_1,iv_slight_over60_1,premium_moderate_over60_1,iv_moderate_over60_1,premium_far_over60_1,iv_far_over60_1,expiration_over60_2,premium_atm_over60_2,iv_atm_over60_2,premium_slight_over60_2,iv_slight_over60_2,premium_moderate_over60_2,iv_moderate_over60_2,premium_far_over60_2,iv_far_over60_2,straddle_14,put_atm_14,call_atm_14,prem_per_iv_primary_14,prem_per_iv_sec_14,prem_per_hv30_14,straddle_30,put_atm_30,call_atm_30,prem_per_iv_primary_30,prem_per_iv_sec_30,prem_per_hv30_30,straddle_45,put_atm_45,call_atm_45,prem_per_iv_primary_45,prem_per_iv_sec_45,prem_per_hv30_45,straddle_over60_1,put_atm_over60_1,call_atm_over60_1,prem_per_iv_primary_over60_1,prem_per_iv_sec_over60_1,prem_per_hv30_over60_1,straddle_over60_2,put_atm_over60_2,call_atm_over60_2,prem_per_iv_primary_over60_2,prem_per_iv_sec_over60_2,prem_per_hv30_over60_2,HV_20,HV_30,HV_60,atm_iv_14,ratio_14,spread_14,signal_14,atm_iv_30,ratio_30,spread_30,signal_30,atm_iv_45,ratio_45,spread_45,signal_45,atm_iv_over60_1,ratio_over60_1,spread_over60_1,signal_over60_1,atm_iv_over60_2,ratio_over60_2,spread_over60_2,signal_over60_2,spike_count_30,spike_ratio_30,avg_spike_pct_30,max_spike_pct_30,spike_signal_30,spike_count_60,spike_ratio_60,avg_spike_pct_60,max_spike_pct_60,spike_signal_60,relative_vol_spy,relative_vol_qqq,straddle_14.0,put_atm_14.0,call_atm_14.0,prem_per_iv_primary_14.0,prem_per_iv_sec_14.0,prem_per_hv30_14.0,straddle_30.0,put_atm_30.0,call_atm_30.0,prem_per_iv_primary_30.0,prem_per_iv_sec_30.0,prem_per_hv30_30.0,straddle_45.0,put_atm_45.0,call_atm_45.0,prem_per_iv_primary_45.0,prem_per_iv_sec_45.0,prem_per_hv30_45.0,premium_slope,iv_slope,slope_divergence,wp_14,wp_30,wp_45,wp_over60_1,wp_over60_2,premium_slope_pct,iv_slope_pct,slope_div_pct,prem_efficiency_signal_14,prem_efficiency_signal_30,prem_efficiency_signal_45,prem_efficiency_signal_over60_1,prem_efficiency_signal_over60_2,spike_score_universe,spike_pct_universe,spike_signal_universe,HV_30_pct,relative_vol_spy_pct,relative_vol_qqq_pct
TXN,3/27/26,-0.0331,-0.0382,Q2 High Premium / High Risk,190.33,4/10/26,2.5491,38.8853,1.6813,40.999,1.2137,43.438,0.4308,50.0233,4/17/26,3.0289,39.0478,2.0885,41.4867,1.3017,43.438,0.5307,50.7553,5/15/26,5.2339,45.389,4.1682,47.015,2.1042,50.5923,0.9523,56.6085,6/18/26,6.4073,42.137,4.9289,43.9257,2.5438,47.6657,1.1617,53.194,7/17/26,7.1691,40.511,5.6317,42.2185,3.0473,45.3893,1.3402,50.267,5.37,2.55,2.82,0.5863,0.0656,0.0947,5.68,3.03,2.65,0.5039,0.0776,0.1125,8.08,5.23,2.85,0.4037,0.1153,0.1944,10.3,6.41,3.89,0.4258,0.1521,0.238,12.03,7.17,4.86,0.4455,0.177,0.2663,0.2979,0.2692,0.3745,0.3889,1.445,0.1197,Rich Vol,0.3905,1.451,0.1213,Rich Vol,0.4539,1.686,0.1847,Very Rich Vol,0.4214,1.565,0.1522,Very Rich Vol,0.4051,1.505,0.1359,Very Rich Vol,2,1.47,3.95,4.44,Normal,2,0.73,8.78,9.47,Normal,1.92,1.52,,,,,,,,,,,,,,,,,,,0.063415,0.00025,0.063164,2.3755,2.8408,5.0208,6.1116,6.8616,0.616,0.759,0.608,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,2.2572,0.579,Moderate,0.347,0.346,0.346
IBM,3/27/26,-0.0338,0.1661,Q2 High Premium / High Risk,236.34,4/10/26,2.7298,41.1617,1.9622,43.9257,0.9393,44.414,0.4633,48.6413,4/17/26,3.1264,40.5114,2.2267,43.438,1.3318,45.877,0.5384,50.267,5/15/26,5.3837,47.3402,4.3978,50.0235,2.3272,52.8683,1.0506,56.5108,6/18/26,6.1868,43.6332,5.2149,46.3646,2.849,49.2917,1.3096,52.5433,7/17/26,6.5901,42.1372,5.9977,44.2186,3.1099,46.121,1.0959,49.0962,4.94,2.73,2.21,0.509,0.0663,0.0536,5.77,3.13,2.65,0.4937,0.0772,0.0614,9.33,5.38,3.95,0.4469,0.1137,0.1057,10.23,6.19,4.04,0.4083,0.1418,0.1215,10.73,6.59,4.14,0.3818,0.1564,0.1294,0.3075,0.5091,0.4833,0.4116,0.808,-0.0975,Compressed Vol,0.4051,0.796,-0.104,Compressed Vol,0.4734,0.93,-0.0357,Equiv. Vol,0.4363,0.857,-0.0728,Compressed Vol,0.4214,0.828,-0.0878,Compressed Vol,1,0.73,14.1,14.1,Normal,3,1.1,9.17,14.1,Normal,3.63,2.88,,,,,,,,,,,,,,,,,,,0.05562,0.000188,0.055432,2.5763,2.9465,5.1865,5.9924,6.4716,0.499,0.712,0.495,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,2.2831,0.588,Moderate,0.77,0.769,0.771
DXCM,3/27/26,-0.0371,0.1738,Q2 High Premium / High Risk,62.25,4/10/26,2.5301,38.0725,2.008,42.4625,,,,,4/17/26,3.1459,40.8363,2.4364,43.1127,1.245,46.365,0.8032,49.292,5/15/26,5.3012,51.243,5.9438,55.145,3.0522,55.145,,,6/18/26,6.506,46.365,6.988,48.316,3.9357,49.292,1.6867,54.657,8/21/26,7.4699,46.3645,8.1526,50.2675,3.9357,51.243,1.4458,57.096,4.9,2.53,2.37,0.546,0.0665,0.0675,5.31,3.15,2.17,0.4508,0.077,0.0839,6.91,5.3,1.61,0.3057,0.1035,0.1415,9.64,6.51,3.13,0.3622,0.1403,0.1736,10.96,7.47,3.49,0.3096,0.1611,0.1993,0.3207,0.3748,0.3371,0.3807,1.016,0.006,Equiv. Vol,0.4084,1.09,0.0336,Equiv. Vol,0.5124,1.367,0.1377,Rich Vol,0.4636,1.237,0.0889,Rich Vol,0.4636,1.237,0.0889,Rich Vol,2,1.47,6.65,7.32,Normal,4,1.47,5.77,7.32,Normal,2.67,2.12,,,,,,,,,,,,,,,,,,,0.072514,0.001044,0.07147,2.4257,3.004,5.4297,6.6024,7.6064,0.713,0.962,0.706,Cheap + Thin,Cheap + Thin,Rich + Thin,Rich + Thin,Rich + Thin,3.1144,0.811,Elevated,0.605,0.603,0.606
ESTC,3/27/26,-0.0385,0.4247,Q2 High Premium / High Risk,48.52,4/17/26,4.5754,62.95,3.1946,67.828,,,1.2366,76.608,4/17/26,4.5754,62.95,3.1946,67.828,,,1.2366,76.608,5/15/26,7.4608,61.974,5.9254,65.876,2.8854,69.779,0.979,69.779,,,,,,,,,,8/21/26,12.7164,66.852,12.1599,66.852,6.183,68.8035,,,6.32,4.58,1.74,0.3476,0.0727,0.0626,6.32,4.58,1.74,0.3476,0.0727,0.0626,12.35,7.46,4.88,0.4518,0.1204,0.102,,,,,,,19.13,12.72,6.41,0.3746,0.1902,0.1739,0.4386,0.7312,0.6286,0.6295,0.861,-0.1017,Compressed Vol,0.6295,0.861,-0.1017,Compressed Vol,0.6197,0.848,-0.1115,Compressed Vol,,,,,0.6685,0.914,-0.0627,Equiv. Vol,1,0.73,16.77,16.77,Normal,4,1.47,10.52,16.77,Normal,5.22,4.13,,,,,,,,,,,,,,,,,,,0.115709,0.000543,0.115165,4.2992,4.2992,7.1537,,12.6051,0.935,0.894,0.935,Cheap + Thin,Cheap + Thin,Cheap + Thin,,Cheap + Thin,2.7394,0.73,Moderate,0.928,0.928,0.928
LNG,3/27/26,-0.0387,0.7837,Q2 High Premium / High Risk,296.91,4/10/26,2.9487,43.926,1.8103,43.438,1.0988,45.3895,0.5136,51.7307,4/17/26,3.5351,43.8284,2.4384,44.6088,1.2108,44.609,0.5375,48.4785,5/15/26,4.8028,42.95,4.1848,42.95,2.0882,44.414,0.8617,47.991,6/18/26,5.7122,42.137,5.052,42.462,2.425,43.438,0.9915,47.0965,9/18/26,7.5183,40.0235,7.4377,40.511,4.0079,41.1617,1.4791,44.9013,5.51,2.95,2.56,0.5325,0.0671,0.0798,6.93,3.54,3.4,0.5479,0.0807,0.0956,7.27,4.8,2.47,0.3839,0.1118,0.1299,8.55,5.71,2.84,0.3538,0.1356,0.1545,11.31,7.52,3.79,0.3391,0.1878,0.2034,0.4023,0.3696,0.3027,0.4393,1.188,0.0697,Equiv. Vol,0.4383,1.186,0.0687,Equiv. Vol,0.4295,1.162,0.0599,Equiv. Vol,0.4214,1.14,0.0518,Equiv. Vol,0.4002,1.083,0.0306,Equiv. Vol,4,2.93,5.52,5.71,Elevated,4,1.47,5.52,5.71,Normal,2.64,2.09,,,,,,,,,,,,,,,,,,,0.0634,-0.000523,0.063923,2.721,3.3158,4.6792,5.5802,7.5022,0.614,0.235,0.625,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,4.7438,0.985,Extreme,0.595,0.595,0.595
NFLX,3/27/26,-0.0428,-0.0399,Q2 High Premium / High Risk,93.43,4/10/26,2.2102,34.658,1.6643,36.6087,0.8848,38.56,0.3768,42.4624,4/17/26,3.8189,47.7304,2.6351,50.0722,1.3901,52.2182,0.6086,55.9811,5/15/26,4.8929,42.0441,3.8612,44.4137,2.1139,46.8525,0.8921,50.9501,6/18/26,5.6798,39.4274,4.7094,42.2185,2.5634,44.9711,1.0538,48.6411,7/17/26,6.3202,39.536,5.753,41.9745,2.8203,45.3895,1.2014,49.2915,3.94,2.21,1.73,0.4819,0.0638,0.047,7.24,3.82,3.42,0.5256,0.08,0.0812,8.67,4.89,3.78,0.4678,0.1164,0.1041,9.69,5.68,4.01,0.4283,0.1441,0.1208,9.75,6.32,3.43,0.3698,0.1599,0.1344,0.2154,0.4702,0.3929,0.3466,0.737,-0.1236,Compressed Vol,0.4773,1.015,0.0071,Equiv. Vol,0.4204,0.894,-0.0498,Compressed Vol,0.3943,0.838,-0.076,Compressed Vol,0.3954,0.841,-0.0749,Compressed Vol,1,0.73,12.9,12.9,Normal,2,0.73,9.35,12.9,Normal,3.36,2.66,,,,,,,,,,,,,,,,,,,0.05222,1.70E-05,0.052203,2.101,3.5821,4.6866,5.4857,6.2068,0.444,0.585,0.441,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,1.9213,0.443,Normal,0.73,0.734,0.734
KNSL,3/27/26,-0.0468,0.0373,Q2 High Premium / High Risk,327.29,4/17/26,2.9912,36.609,1.9478,37.5845,1.0236,42.462,0.3361,54.169,4/17/26,2.9912,36.609,1.9478,37.5845,1.0236,42.462,0.3361,54.169,5/15/26,5.238,44.739,3.7429,47.828,2.261,51.2425,0.9854,60.023,,,,,,,,,,7/17/26,6.5915,40.5113,5.9122,43.438,3.7734,47.34,1.4456,50.511,5.65,2.99,2.66,0.5343,0.0817,0.083,5.65,2.99,2.66,0.5343,0.0817,0.083,10.54,5.24,5.3,0.5344,0.1171,0.1453,,,,,,,10.78,6.59,4.18,0.399,0.1627,0.1829,0.2955,0.3604,0.3537,0.3661,1.016,0.0056,Equiv. Vol,0.3661,1.016,0.0056,Equiv. Vol,0.4474,1.241,0.0869,Rich Vol,,,,,0.4051,1.124,0.0447,Equiv. Vol,2,1.47,7.04,7.69,Normal,3,1.1,6.66,7.69,Normal,2.57,2.04,,,,,,,,,,,,,,,,,,,0.05117,0.000543,0.050627,2.7825,2.7825,4.939,,6.4556,0.423,0.894,0.405,Cheap + Thin,Cheap + Thin,Rich + Thin,,Cheap + Thin,2.9384,0.768,Elevated,0.579,0.58,0.581
LLY,3/27/26,-0.0479,0.1265,Q2 High Premium / High Risk,878.24,4/10/26,2.6968,42.5843,1.8759,43.926,1.0924,45.6333,0.4548,48.7062,4/17/26,3.1966,41.121,2.3442,42.706,1.2248,45.1455,0.4682,49.2917,5/15/26,5.507,47.5841,4.1897,48.9665,2.2853,51.4053,0.9614,54.4132,6/18/26,6.402,44.5115,5.2361,45.8073,2.8848,47.8979,1.231,50.7006,7/17/26,6.6836,42.137,5.9198,43.438,3.1607,45.3893,1.3123,48.5946,5.03,2.7,2.33,0.5013,0.0633,0.0874,5.59,3.2,2.39,0.471,0.0777,0.1036,9.73,5.51,4.22,0.4635,0.1157,0.1785,10.88,6.4,4.48,0.4261,0.1438,0.2075,10.23,6.68,3.55,0.3643,0.1586,0.2166,0.2889,0.3086,0.4146,0.4258,1.38,0.1173,Rich Vol,0.4112,1.333,0.1026,Rich Vol,0.4758,1.542,0.1673,Very Rich Vol,0.4451,1.442,0.1365,Rich Vol,0.4214,1.365,0.1128,Rich Vol,2,1.47,5.43,6.13,Normal,3,1.1,8.02,9.83,Normal,2.2,1.74,,,,,,,,,,,,,,,,,,,0.056988,5.10E-05,0.056937,2.5326,3.0261,5.2435,6.1688,6.5308,0.514,0.599,0.514,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,2.8074,0.751,Elevated,0.469,0.466,0.465
CHPT,3/27/26,-0.0566,0.5649,Q2 High Premium / High Risk,4.69,4/10/26,,,5.0107,89.291,,,,,4/17/26,5.4371,84.413,6.3966,89.291,3.0917,98.071,,,5/15/26,10.4478,92.217,6.6098,95.144,,,,,,,,,,,,,,8/21/26,16.7377,94.168,13.8593,91.242,,,,,,,,,,,5.44,5.44,0,0.2231,0.0644,0.0983,13.11,10.45,2.67,0.3225,0.1133,0.1889,,,,,,,22.55,16.74,5.81,0.3135,0.1777,0.3027,0.5596,0.553,0.5637,,,,,0.8441,1.526,0.2911,Very Rich Vol,0.9222,1.667,0.3691,Very Rich Vol,,,,,0.9417,1.703,0.3886,Very Rich Vol,2,1.47,9.64,9.94,Normal,3,1.1,9.34,9.94,Normal,3.95,3.12,,,,,,,,,,,,,,,,,,,0.165201,0.001323,0.163877,,5.629,9.6802,,16.162,0.99,0.98,0.989,,Rich + Thin,Rich + Thin,,Rich + Thin,3.2513,0.845,Elevated,0.806,0.808,0.805
ROL,3/27/26,-0.0614,0.0724,Q2 High Premium / High Risk,52.46,4/17/26,2.6878,29.78,1.2867,33.682,,,,,4/17/26,2.6878,29.78,1.2867,33.682,,,,,5/15/26,4.451,32.707,2.621,33.682,1.6203,36.609,1.0961,41.487,,,,,,,,,,8/21/26,5.4041,28.3165,4.3366,32.2185,2.907,36.609,,,5.52,2.69,2.83,0.6419,0.0903,0.1125,5.52,2.69,2.83,0.6419,0.0903,0.1125,9.09,4.45,4.64,0.6305,0.1361,0.1864,,,,,,,9.47,5.4,4.07,0.4381,0.1908,0.2263,0.2045,0.2388,0.299,0.2978,1.247,0.059,Rich Vol,0.2978,1.247,0.059,Rich Vol,0.3271,1.37,0.0883,Rich Vol,,,,,0.2832,1.186,0.0443,Equiv. Vol,3,2.2,3.54,3.67,Moderate,1,0.37,11.13,11.13,Normal,1.7,1.35,,,,,,,,,,,,,,,,,,,0.03877,-0.000203,0.038974,2.4076,2.4076,4.085,,5.1906,0.184,0.424,0.187,Rich + Efficient,Rich + Efficient,Rich + Efficient,,Cheap + Thin,2.6504,0.713,Moderate,0.244,0.243,0.245
QRVO,3/27/26,-0.0678,0.3492,Q2 High Premium / High Risk,77.35,4/17/26,2.8119,31.731,,,,,,,4/17/26,2.8119,31.731,,,,,,,5/15/26,5.3652,43.9255,4.0239,43.438,2.5856,45.389,,,,,,,,,,,,8/21/26,7.2721,40.511,6.615,40.8363,3.2967,41.487,,,6.33,2.81,3.52,0.6916,0.0886,0.131,6.33,2.81,3.52,0.6916,0.0886,0.131,10.02,5.37,4.65,0.5173,0.1221,0.25,,,,,,,11.96,7.27,4.69,0.3865,0.1795,0.3389,0.2131,0.2146,0.3154,0.3173,1.479,0.1027,Rich Vol,0.3173,1.479,0.1027,Rich Vol,0.4393,2.047,0.2246,Very Rich Vol,,,,,0.4051,1.888,0.1905,Very Rich Vol,2,1.47,3.73,4.13,Normal,3,1.1,6.33,7.82,Normal,1.53,1.21,,,,,,,,,,,,,,,,,,,,0.001223,,,,5.0969,,7.1407,,0.975,,Rich + Efficient,Rich + Efficient,Rich + Thin,,Rich + Thin,2.4009,0.625,Moderate,0.172,0.171,0.171
AXP,3/27/26,-0.079,0.0947,Q2 High Premium / High Risk,292.27,4/10/26,2.69,41.4868,1.7813,43.9257,1.1143,47.0153,0.5141,52.2182,4/17/26,3.2621,41.6495,2.3335,44.2186,1.4,46.3647,0.6522,51.9745,5/15/26,4.9389,40.999,3.507,43.438,1.8519,46.8525,0.7767,51.2427,6/18/26,5.4932,38.56,4.6618,40.999,2.7757,43.438,1.2326,48.072,7/17/26,6.4142,38.2347,4.9811,40.5113,2.7757,43.926,1.1407,47.9258,4.77,2.69,2.08,0.488,0.0648,0.0715,5.96,3.26,2.7,0.4958,0.0783,0.0867,9.13,4.94,4.19,0.5047,0.1205,0.1313,9.28,5.49,3.79,0.4194,0.1425,0.146,10.88,6.41,4.47,0.4269,0.1678,0.1705,0.1896,0.3763,0.3267,0.4149,1.103,0.0386,Equiv. Vol,0.4165,1.107,0.0402,Equiv. Vol,0.41,1.09,0.0337,Equiv. Vol,0.3856,1.025,0.0093,Equiv. Vol,0.3823,1.016,0.0061,Equiv. Vol,2,1.47,7.84,8.21,Normal,3,1.1,6.68,8.21,Normal,2.69,2.13,,,,,,,,,,,,,,,,,,,0.049355,-0.00051,0.049865,2.5083,3.0764,4.6525,5.3269,6.1276,0.382,0.243,0.386,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,3.0174,0.789,Elevated,0.61,0.611,0.612
CAG,3/27/26,-0.0812,0.0758,Q2 High Premium / High Risk,15.62,4/10/26,2.8649,46.365,2.2407,52.218,1.1204,54.6575,,,4/17/26,3.5051,44.9015,2.7209,48.316,1.6005,52.2185,0.6402,51.243,5/15/26,5.4097,46.365,4.4814,45.389,2.7209,49.292,1.1204,53.194,6/18/26,6.5301,42.462,4.7215,43.438,2.2407,47.34,1.2804,55.1455,9/18/26,7.5437,43.763,7.2823,42.462,3.6812,45.877,1.6005,49.7795,5.01,2.86,2.14,0.4584,0.0618,0.0794,6.29,3.51,2.78,0.4853,0.0781,0.0972,7.14,5.41,1.73,0.3491,0.1167,0.15,9.7,6.53,3.17,0.398,0.1538,0.1811,10.57,7.54,3.02,0.2898,0.1724,0.2092,0.3748,0.3607,0.361,0.4636,1.285,0.103,Rich Vol,0.449,1.245,0.0883,Rich Vol,0.4636,1.285,0.103,Rich Vol,0.4246,1.177,0.0639,Equiv. Vol,0.4376,1.213,0.077,Rich Vol,2,1.47,5.58,6.28,Normal,3,1.1,5.28,6.28,Normal,2.57,2.04,,,,,,,,,,,,,,,,,,,0.064745,-0.000391,0.065136,2.7401,3.3483,5.224,6.1684,7.4914,0.635,0.318,0.639,Rich + Thin,Rich + Thin,Rich + Thin,Cheap + Thin,Rich + Thin,2.6978,0.725,Moderate,0.581,0.58,0.581
TMF,3/27/26,-0.0841,0.0383,Q2 High Premium / High Risk,34.81,4/10/26,3.1409,47.9907,2.2168,50.2673,1.2784,52.2185,0.6033,57.0965,4/17/26,3.634,47.0965,2.7255,50.0235,1.4507,52.706,0.79,56.121,5/15/26,5.4151,45.7143,3.7346,47.828,1.9247,50.267,,,,,,,,,,,,8/21/26,7.426,42.6572,7.1423,43.926,3.8399,45.3893,1.58,47.34,5.88,3.14,2.74,0.5198,0.0654,0.0977,6.29,3.63,2.66,0.4627,0.0772,0.113,9.26,5.42,3.84,0.4592,0.1185,0.1684,,,,,,,11.52,7.43,4.1,0.3537,0.1741,0.231,0.3614,0.3215,0.3071,0.4799,1.493,0.1584,Rich Vol,0.471,1.465,0.1495,Rich Vol,0.4571,1.422,0.1356,Rich Vol,,,,,0.4266,1.327,0.1051,Rich Vol,1,0.73,5.85,5.85,Normal,4,1.47,4.44,5.85,Normal,2.29,1.82,,,,,,,,,,,,,,,,,,,0.059226,-0.000702,0.059928,2.9561,3.4523,5.079,,7.3693,0.564,0.176,0.566,Rich + Thin,Rich + Thin,Rich + Thin,,Rich + Thin,1.8319,0.412,Normal,0.49,0.489,0.492
GOOGL,3/27/26,-0.0853,0.1606,Q2 High Premium / High Risk,274.34,4/10/26,2.2636,34.0073,1.7891,37.9097,0.9003,40.5115,0.3675,44.0883,4/17/26,2.759,35.4384,1.9684,37.9093,1.0161,40.999,0.4356,45.1452,5/15/26,4.6106,39.2918,3.5358,41.4867,1.941,44.9015,0.7937,50.2672,6/18/26,5.4593,37.194,4.3901,39.7795,2.481,42.4623,1.0813,47.2011,7/17/26,5.8443,36.1208,4.8243,38.755,2.6564,41.4868,1.2146,44.971,4.4,2.26,2.14,0.5493,0.0666,0.0868,5.45,2.76,2.69,0.533,0.0779,0.1058,8.51,4.61,3.9,0.4915,0.1173,0.1768,9.79,5.46,4.33,0.4584,0.1468,0.2093,10.3,5.84,4.45,0.4275,0.1618,0.2241,0.2567,0.2608,0.2374,0.3401,1.304,0.0793,Rich Vol,0.3544,1.359,0.0936,Rich Vol,0.3929,1.507,0.1321,Very Rich Vol,0.3719,1.426,0.1112,Rich Vol,0.3612,1.385,0.1004,Rich Vol,3,2.2,3.78,3.93,Moderate,3,1.1,3.78,3.93,Normal,1.86,1.47,,,,,,,,,,,,,,,,,,,0.049266,0.000252,0.049014,2.1687,2.6009,4.3956,5.2455,5.6403,0.38,0.761,0.367,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,2.9833,0.782,Elevated,0.315,0.315,0.315
CCK,3/27/26,-0.0879,-0.1146,Q3 Low Premium  / Low Risk,99.58,4/17/26,2.7164,31.731,1.7323,33.6825,0.9038,36.609,0.5272,44.4137,4/17/26,2.7164,31.731,1.7323,33.6825,0.9038,36.609,0.5272,44.4137,5/15/26,4.9508,36.609,3.3474,38.56,,,,,,,,,,,,,,7/17/26,5.3274,32.707,4.6278,33.032,,,,,5.36,2.72,2.64,0.5849,0.0856,0.1056,5.36,2.72,2.64,0.5849,0.0856,0.1056,10,4.95,5.05,0.6196,0.1352,0.1925,,,,,,,8.91,5.33,3.58,0.4085,0.1629,0.2072,0.2688,0.2571,0.2647,0.3173,1.234,0.0602,Rich Vol,0.3173,1.234,0.0602,Rich Vol,0.3661,1.424,0.109,Rich Vol,,,,,0.3271,1.272,0.0699,Rich Vol,2,1.47,3.54,3.73,Normal,3,1.1,3.51,3.73,Normal,1.84,1.45,,,,,,,,,,,,,,,,,,,0.037166,0.000137,0.03703,2.5196,2.5196,4.6301,,5.1875,0.163,0.677,0.155,Rich + Thin,Rich + Thin,Rich + Efficient,,Rich + Thin,2.1118,0.541,Moderate,0.302,0.305,0.303
TAN,3/27/26,-0.0885,-0.5745,Q3 Low Premium  / Low Risk,54.52,4/17/26,3.0356,40.1863,2.3844,42.95,1.3298,43.438,0.6725,47.0153,4/17/26,3.0356,40.1863,2.3844,42.95,1.3298,43.438,0.6725,47.0153,5/15/26,4.7735,41.243,3.462,41.9748,1.7119,43.7633,0.8712,49.0964,6/18/26,6.8721,42.462,4.8491,40.999,2.3615,42.462,1.047,45.2267,7/17/26,6.4249,40.9293,5.4292,40.7064,2.6825,40.2672,1.1311,41.812,5.34,3.04,2.3,0.4601,0.0755,0.0865,5.34,3.04,2.3,0.4601,0.0755,0.0865,8.16,4.77,3.39,0.4488,0.1157,0.1361,13.01,6.87,6.14,0.5339,0.1618,0.1959,10.51,6.42,4.08,0.3851,0.157,0.1832,0.3204,0.3508,0.3596,0.4019,1.146,0.0511,Equiv. Vol,0.4019,1.146,0.0511,Equiv. Vol,0.4124,1.176,0.0617,Equiv. Vol,0.4246,1.211,0.0738,Rich Vol,0.4093,1.167,0.0585,Equiv. Vol,1,0.73,4.58,4.58,Normal,2,0.73,4.75,4.93,Normal,2.5,1.98,,,,,,,,,,,,,,,,,,,0.052313,0.000169,0.052144,2.9054,2.9054,4.5112,6.4675,6.2258,0.447,0.701,0.438,Cheap + Thin,Cheap + Thin,Cheap + Thin,Rich + Thin,Cheap + Thin,1.2683,0.203,Normal,0.545,0.543,0.545
KWEB,3/27/26,-0.0921,-0.4682,Q3 Low Premium  / Low Risk,27.91,4/10/26,2.2035,35.633,1.8363,37.5845,0.8868,39.5355,0.3404,43.438,4/17/26,2.8365,36.934,1.9348,39.5355,1.0749,38.56,0.4658,38.56,5/15/26,3.8696,34.6575,2.9201,36.6085,1.7556,40.511,,,6/18/26,5.1236,34.17,4.4876,37.584,2.2125,38.072,0.9002,43.9255,7/17/26,5.4102,34.983,5.052,36.121,3.0276,38.56,1.2122,40.1863,5.57,2.2,3.37,0.6634,0.0618,0.0856,5.83,2.84,3,0.5472,0.0768,0.1102,6.49,3.87,2.62,0.4249,0.1117,0.1503,9.38,5.12,4.25,0.4782,0.1499,0.199,9.11,5.41,3.7,0.3905,0.1547,0.2101,0.3033,0.2575,0.2897,0.3563,1.384,0.0989,Rich Vol,0.3693,1.435,0.1119,Rich Vol,0.3466,1.346,0.0891,Rich Vol,0.3417,1.327,0.0842,Rich Vol,0.3498,1.359,0.0924,Rich Vol,1,0.73,3.28,3.28,Normal,3,1.1,4.48,4.98,Normal,1.84,1.45,,,,,,,,,,,,,,,,,,,0.045477,-0.000195,0.045671,2.1301,2.6562,3.6797,4.9964,5.3386,0.3,0.429,0.302,Rich + Efficient,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,1.3331,0.222,Normal,0.304,0.305,0.303
AMZN,3/27/26,-0.0998,-0.1094,Q3 Low Premium  / Low Risk,199.34,4/10/26,2.4589,37.9093,1.6989,40.8363,0.9707,43.438,0.4289,47.3405,4/17/26,2.8494,37.5843,2.1007,40.999,1.1187,43.926,0.4364,48.6413,5/15/26,4.9156,43.9257,3.9004,46.8525,2.2825,49.617,0.9015,54.95,6/18/26,6.013,40.2675,4.5525,43.438,2.6044,46.3647,1.1769,50.6574,7/17/26,6.1089,38.316,5.7126,40.999,3.173,43.438,1.4159,48.1533,4.74,2.46,2.28,0.5307,0.0649,0.0846,5.07,2.85,2.22,0.467,0.0758,0.098,9.06,4.92,4.15,0.468,0.1119,0.1691,11.32,6.01,5.31,0.49,0.1493,0.2069,9.85,6.11,3.74,0.3854,0.1594,0.2102,0.3113,0.2907,0.3127,0.3791,1.304,0.0884,Rich Vol,0.3758,1.293,0.0852,Rich Vol,0.4393,1.511,0.1486,Very Rich Vol,0.4027,1.385,0.112,Rich Vol,0.3832,1.318,0.0925,Rich Vol,2,1.47,3.92,4.03,Normal,3,1.1,4.76,5.72,Normal,2.07,1.64,,,,,,,,,,,,,,,,,,,0.053645,0.000101,0.053544,2.3069,2.6997,4.7126,5.7209,6.0296,0.478,0.644,0.476,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,2.2909,0.589,Moderate,0.421,0.42,0.42
