symbol,date,premium_score,risk_score,quadrant,spot,expiration_14,premium_atm_14,iv_atm_14,premium_slight_14,iv_slight_14,premium_moderate_14,iv_moderate_14,premium_far_14,iv_far_14,expiration_30,premium_atm_30,iv_atm_30,premium_slight_30,iv_slight_30,premium_moderate_30,iv_moderate_30,premium_far_30,iv_far_30,expiration_45,premium_atm_45,iv_atm_45,premium_slight_45,iv_slight_45,premium_moderate_45,iv_moderate_45,premium_far_45,iv_far_45,expiration_over60_1,premium_atm_over60_1,iv_atm_over60_1,premium_slight_over60_1,iv_slight_over60_1,premium_moderate_over60_1,iv_moderate_over60_1,premium_far_over60_1,iv_far_over60_1,expiration_over60_2,premium_atm_over60_2,iv_atm_over60_2,premium_slight_over60_2,iv_slight_over60_2,premium_moderate_over60_2,iv_moderate_over60_2,premium_far_over60_2,iv_far_over60_2,straddle_14,put_atm_14,call_atm_14,prem_per_iv_primary_14,prem_per_iv_sec_14,prem_per_hv30_14,straddle_30,put_atm_30,call_atm_30,prem_per_iv_primary_30,prem_per_iv_sec_30,prem_per_hv30_30,straddle_45,put_atm_45,call_atm_45,prem_per_iv_primary_45,prem_per_iv_sec_45,prem_per_hv30_45,straddle_over60_1,put_atm_over60_1,call_atm_over60_1,prem_per_iv_primary_over60_1,prem_per_iv_sec_over60_1,prem_per_hv30_over60_1,straddle_over60_2,put_atm_over60_2,call_atm_over60_2,prem_per_iv_primary_over60_2,prem_per_iv_sec_over60_2,prem_per_hv30_over60_2,HV_20,HV_30,HV_60,atm_iv_14,ratio_14,spread_14,signal_14,atm_iv_30,ratio_30,spread_30,signal_30,atm_iv_45,ratio_45,spread_45,signal_45,atm_iv_over60_1,ratio_over60_1,spread_over60_1,signal_over60_1,atm_iv_over60_2,ratio_over60_2,spread_over60_2,signal_over60_2,spike_count_30,spike_ratio_30,avg_spike_pct_30,max_spike_pct_30,spike_signal_30,spike_count_60,spike_ratio_60,avg_spike_pct_60,max_spike_pct_60,spike_signal_60,relative_vol_spy,relative_vol_qqq,straddle_14.0,put_atm_14.0,call_atm_14.0,prem_per_iv_primary_14.0,prem_per_iv_sec_14.0,prem_per_hv30_14.0,straddle_45.0,put_atm_45.0,call_atm_45.0,prem_per_iv_primary_45.0,prem_per_iv_sec_45.0,prem_per_hv30_45.0,premium_slope,iv_slope,slope_divergence,wp_14,wp_30,wp_45,wp_over60_1,wp_over60_2,premium_slope_pct,iv_slope_pct,slope_div_pct,prem_efficiency_signal_14,prem_efficiency_signal_30,prem_efficiency_signal_45,prem_efficiency_signal_over60_1,prem_efficiency_signal_over60_2,spike_score_universe,spike_pct_universe,spike_signal_universe,HV_30_pct,relative_vol_spy_pct,relative_vol_qqq_pct
EQIX,2026-03-31,-0.4101,-0.4547,Q3 Low Premium  / Low Risk,980.24,2026-04-17,1.9788,27.8287,1.3517,29.292,0.7838,30.7553,0.4552,40.5112,,,,,,,,,,2026-05-15,3.5965,31.9262,2.7136,33.2922,1.5047,36.4136,0.7433,41.0686,2026-06-18,4.3728,31.4521,3.5587,32.3817,1.9516,34.2678,0.8842,38.56,2026-09-18,5.8869,31.731,5.334,33.1249,2.8938,35.6333,1.4469,38.7228,4.13,1.98,2.16,0.572,0.0711,0.0998,,,,,,,6.65,3.6,3.05,0.493,0.1126,0.1813,7.7,4.37,3.33,0.4372,0.139,0.2205,9.68,5.89,3.8,0.3704,0.1855,0.2968,0.1635,0.1984,0.2921,0.2783,1.403,0.0799,Rich Vol,,,,,0.3193,1.61,0.1209,Very Rich Vol,0.3145,1.586,0.1162,Very Rich Vol,0.3173,1.6,0.119,Very Rich Vol,1,0.73,2.73,2.73,Normal,2,0.73,7.4,9.91,Normal,1.19,0.97,,,,,,,,,,,,,0.050545,0.000475,0.05007,1.8534,,3.4199,4.21,5.7763,0.438,0.857,0.429,Rich + Thin,,Rich + Thin,Rich + Thin,Rich + Thin,1.196,0.173,Normal,0.106,0.106,0.109
USB,2026-03-31,-0.4102,-0.196,Q3 Low Premium  / Low Risk,52.01,2026-04-10,2.0092,30.755,1.3074,33.682,0.7547,38.0725,0.3205,46.3647,2026-05-01,3.4224,34.6575,2.5091,37.584,,,,,2026-05-15,3.6531,30.755,2.8937,34.658,1.692,37.584,0.737,46.365,2026-06-18,4.7875,30.755,3.9512,32.707,2.0813,36.121,0.8716,45.064,2026-09-18,5.9556,30.2675,5.2153,32.219,2.8408,36.121,1.245,43.682,4.12,2.01,2.11,0.6732,0.0653,0.0754,6.2,3.42,2.78,0.5101,0.0987,0.1284,7.03,3.65,3.37,0.5407,0.1188,0.137,9.42,4.79,4.63,0.5471,0.1557,0.1796,9.43,5.96,3.47,0.3781,0.1968,0.2234,0.173,0.2666,0.253,0.3076,1.154,0.041,Equiv. Vol,0.3466,1.3,0.08,Rich Vol,0.3076,1.154,0.041,Equiv. Vol,0.3076,1.154,0.041,Equiv. Vol,0.3027,1.135,0.0361,Equiv. Vol,2,1.47,4.81,4.98,Normal,2,0.73,4.81,4.98,Normal,1.6,1.3,,,,,,,,,,,,,0.04921,-0.000262,0.049472,1.8688,3.2397,3.5012,4.6202,5.8075,0.409,0.284,0.417,Cheap + Efficient,Rich + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,2.2319,0.582,Moderate,0.31,0.308,0.311
SYK,2026-03-31,-0.4129,-0.113,Q3 Low Premium  / Low Risk,328.59,2026-04-17,2.4164,31.731,1.6434,33.682,0.9282,35.633,0.4375,40.511,,,,,,,,,,2026-05-15,3.5272,33.1945,2.8759,35.1455,1.4075,37.5845,0.776,40.511,2026-06-18,4.4326,30.755,3.8117,32.707,2.1303,34.6575,0.8959,39.0478,2026-09-18,5.6423,30.105,5.2497,31.731,2.7643,34.0073,1.3619,36.6085,4.41,2.42,1.99,0.5347,0.0762,0.096,,,,,,,5.52,3.53,1.99,0.3935,0.1063,0.1402,7.52,4.43,3.09,0.4366,0.1441,0.1762,9.47,5.64,3.83,0.3819,0.1874,0.2243,0.2605,0.2516,0.2471,0.3173,1.261,0.0657,Rich Vol,,,,,0.3319,1.319,0.0803,Rich Vol,0.3076,1.222,0.0559,Rich Vol,0.301,1.197,0.0494,Equiv. Vol,2,1.47,3.69,3.73,Normal,4,1.47,3.66,4.22,Normal,1.51,1.22,,,,,,,,,,,,,0.043225,-0.000265,0.04349,2.2618,,3.3969,4.3084,5.5638,0.268,0.282,0.27,Rich + Thin,,Rich + Thin,Rich + Thin,Cheap + Thin,2.3277,0.615,Moderate,0.258,0.255,0.253
PDD,2026-03-31,-0.4182,-0.2659,Q3 Low Premium  / Low Risk,102.18,2026-04-10,1.8925,36.121,1.2478,36.121,0.7422,39.2103,0.3238,45.7143,2026-05-01,3.6534,37.9746,2.6189,38.9502,1.3775,40.0235,0.7568,43.113,2026-05-15,3.5281,35.633,3.051,37.5845,1.3408,41.487,0.6728,47.3405,2026-06-18,5.7521,39.536,4.0125,40.511,2.2314,43.438,0.9183,51.568,2026-07-17,5.4977,38.56,5.7986,39.048,2.8381,41.4865,1.2608,48.641,3.67,1.89,1.78,0.51,0.0524,0.0623,6.74,3.65,3.09,0.506,0.0962,0.1203,4.83,3.53,1.3,0.3207,0.099,0.1162,12.13,5.75,6.38,0.5479,0.1455,0.1895,7.93,5.5,2.44,0.3143,0.1426,0.1811,0.3342,0.3036,0.3199,0.3612,1.19,0.0576,Equiv. Vol,0.3797,1.251,0.0762,Rich Vol,0.3563,1.174,0.0528,Equiv. Vol,0.3954,1.302,0.0918,Rich Vol,0.3856,1.27,0.082,Rich Vol,1,0.73,4.5,4.5,Normal,5,1.83,4.46,5.55,Moderate,1.83,1.48,,,,,,,,,,,,,0.049419,0.000337,0.049082,1.7636,3.4465,3.4327,5.4042,5.5579,0.417,0.788,0.397,Cheap + Thin,Rich + Thin,Cheap + Thin,Rich + Thin,Rich + Thin,1.903,0.44,Normal,0.423,0.425,0.425
GOOG,2026-03-31,-0.4241,-0.4509,Q3 Low Premium  / Low Risk,286.86,2026-04-10,1.6843,31.0803,1.1359,32.7067,0.6562,35.1455,0.2931,39.0478,2026-05-01,3.5203,37.9093,2.6465,39.5357,1.3607,42.137,0.57,46.9502,2026-05-15,4.1245,35.9583,3.0111,38.316,1.5338,41.4867,0.7,45.3892,2026-06-18,4.6915,34.6578,4.1745,36.8525,2.2681,39.048,0.9659,43.7166,2026-07-17,5.4079,34.0724,4.6312,36.2186,2.4838,38.316,1.0323,42.0965,3.23,1.68,1.55,0.522,0.0542,0.0583,6.19,3.52,2.67,0.4657,0.0929,0.1219,7.61,4.12,3.48,0.5006,0.1147,0.1429,8.49,4.69,3.8,0.4375,0.1354,0.1625,9.31,5.41,3.9,0.4173,0.1587,0.1873,0.307,0.2887,0.254,0.3108,1.077,0.0221,Equiv. Vol,0.3791,1.313,0.0904,Rich Vol,0.3596,1.245,0.0709,Rich Vol,0.3466,1.2,0.0579,Rich Vol,0.3407,1.18,0.052,Equiv. Vol,1,0.73,4.9,4.9,Normal,3,1.1,3.97,4.9,Normal,1.74,1.41,,,,,,,,,,,,,0.044373,9.5e-05,0.044278,1.5746,3.3455,3.9018,4.5881,5.2526,0.299,0.619,0.288,Cheap + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Cheap + Thin,1.4927,0.277,Normal,0.389,0.391,0.391
GILD,2026-03-31,-0.4365,-0.5065,Q3 Low Premium  / Low Risk,139.37,2026-04-10,1.5202,28.8042,1.0637,29.78,0.6565,27.829,0.3319,43.9255,2026-05-01,3.2913,34.6577,2.5131,38.5602,1.6431,37.584,,,2026-05-15,4.1221,32.707,2.6207,35.1455,1.3669,37.584,0.7068,43.7633,2026-06-18,4.6244,32.707,3.749,34.17,2.0037,37.0965,0.8742,41.4867,2026-08-21,6.1611,34.983,5.1003,35.308,2.6369,37.584,1.2126,41.487,3.0,1.52,1.48,0.5221,0.0528,0.0651,6.44,3.29,3.15,0.5296,0.095,0.1408,8.21,4.12,4.09,0.5939,0.126,0.1764,7.39,4.62,2.77,0.4037,0.1414,0.1979,9.52,6.16,3.36,0.3612,0.1761,0.2636,0.2222,0.2337,0.3065,0.288,1.233,0.0543,Rich Vol,0.3466,1.483,0.1129,Rich Vol,0.3271,1.4,0.0934,Rich Vol,0.3271,1.4,0.0934,Rich Vol,0.3498,1.497,0.1161,Rich Vol,1,0.73,3.54,3.54,Normal,2,0.73,4.79,5.66,Normal,1.41,1.14,,,,,,,,,,,,,0.054696,0.000548,0.054148,1.4289,3.1357,3.8218,4.4493,5.9489,0.528,0.877,0.524,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,1.1884,0.17,Normal,0.215,0.215,0.215
ZTS,2026-03-31,-0.4365,-0.2222,Q3 Low Premium  / Low Risk,118.21,2026-04-17,1.9541,31.731,1.6919,34.658,0.8037,38.56,0.3701,48.316,,,,,,,,,,2026-05-15,4.4497,38.56,3.553,42.4625,1.7765,44.414,0.9623,48.316,2026-06-18,4.5343,35.1455,4.2298,36.6085,2.0409,39.5355,1.1632,50.5927,2026-07-17,5.4014,35.1455,5.0334,36.121,2.6225,38.0725,1.7765,42.462,2.47,1.95,0.52,0.2997,0.0616,0.0652,,,,,,,7.38,4.45,2.93,0.4527,0.1154,0.1486,6.59,4.53,2.06,0.3349,0.129,0.1514,8.03,5.4,2.63,0.3489,0.1537,0.1803,0.3061,0.2995,0.2656,0.3173,1.059,0.0178,Equiv. Vol,,,,,0.3856,1.287,0.0861,Rich Vol,0.3515,1.173,0.052,Equiv. Vol,0.3515,1.173,0.052,Equiv. Vol,2,1.47,3.65,3.68,Normal,3,1.1,3.58,3.68,Normal,1.8,1.46,,,,,,,,,,,,,0.043107,0.000339,0.042767,1.9017,,4.2704,4.4734,5.3278,0.264,0.789,0.262,Cheap + Thin,,Rich + Thin,Cheap + Thin,Cheap + Thin,2.0973,0.527,Moderate,0.416,0.415,0.416
AON,2026-03-31,-0.4448,-0.6612,Q3 Low Premium  / Low Risk,322.78,2026-04-17,2.1377,30.755,1.2392,33.682,0.8365,39.536,0.4647,45.877,,,,,,,,,,2026-05-15,3.8075,34.17,2.6411,36.6085,1.611,39.536,1.0262,43.9255,2026-06-18,4.1731,31.4057,3.4699,34.17,,,1.4251,40.511,2026-07-17,4.6533,29.78,3.7797,30.755,2.3081,34.17,1.0069,39.1452,5.31,2.14,3.18,0.6651,0.0695,0.0793,,,,,,,7.15,3.81,3.34,0.4952,0.1114,0.1413,8.69,4.17,4.52,0.4944,0.1329,0.1549,8.21,4.65,3.56,0.4213,0.1563,0.1727,0.286,0.2695,0.319,0.3076,1.141,0.0381,Equiv. Vol,,,,,0.3417,1.268,0.0722,Rich Vol,0.3141,1.165,0.0446,Equiv. Vol,0.2978,1.105,0.0283,Equiv. Vol,1,0.73,3.63,3.63,Normal,1,0.37,9.73,9.73,Normal,1.62,1.31,,,,,,,,,,,,,0.032615,-0.000188,0.032803,1.958,,3.5742,4.0325,4.4786,0.112,0.342,0.108,Cheap + Efficient,,Rich + Thin,Cheap + Thin,Cheap + Thin,1.0465,0.126,Normal,0.318,0.318,0.318
ARKW,2026-03-31,-0.4476,-0.3703,Q3 Low Premium  / Low Risk,120.61,2026-04-17,2.8115,39.1454,1.9346,40.8363,,,,,,,,,,,,,,2026-05-15,4.3896,39.6751,3.5652,42.462,,,,,2026-06-18,6.1189,40.0235,4.5187,42.95,,,,,2026-09-18,7.3854,40.0235,6.5639,42.137,,,2.5288,47.34,5.43,2.81,2.62,0.5339,0.0718,0.0716,,,,,,,6.99,4.39,2.6,0.4168,0.1106,0.1118,10.81,6.12,4.69,0.4823,0.1529,0.1558,12.6,7.39,5.21,0.3821,0.1845,0.1881,0.4151,0.3926,0.3875,0.3915,0.997,-0.0012,Equiv. Vol,,,,,0.3968,1.011,0.0041,Equiv. Vol,0.4002,1.019,0.0076,Equiv. Vol,0.4002,1.019,0.0076,Equiv. Vol,1,0.73,5.24,5.24,Normal,4,1.47,5.37,5.9,Normal,2.36,1.91,,,,,,,,,,,,,0.060987,0.000118,0.060869,2.6361,,4.2247,5.7989,7.2211,0.597,0.636,0.597,Cheap + Thin,,Cheap + Thin,Cheap + Thin,Cheap + Thin,1.7874,0.398,Normal,0.619,0.618,0.619
IEMG,2026-03-31,-0.4482,-0.2173,Q3 Low Premium  / Low Risk,69.75,2026-04-17,2.9152,40.8363,2.043,44.4133,1.3262,46.365,0.2867,47.34,,,,,,,,,,2026-05-15,3.7455,33.6823,3.1302,39.2107,,,,,2026-06-18,4.6117,33.8447,3.914,35.8284,2.282,38.2347,,,2026-09-18,5.8602,31.609,5.457,32.9508,3.6559,35.1455,1.9355,37.584,4.67,2.92,1.76,0.4404,0.0714,0.0908,,,,,,,6.27,3.75,2.53,0.4407,0.1112,0.1166,7.46,4.61,2.85,0.3935,0.1363,0.1436,9.67,5.86,3.81,0.3714,0.1854,0.1825,0.3308,0.3211,0.2531,0.4084,1.272,0.0872,Rich Vol,,,,,0.3368,1.049,0.0157,Equiv. Vol,0.3384,1.054,0.0173,Equiv. Vol,0.3161,0.984,-0.005,Equiv. Vol,1,0.73,4.96,4.96,Normal,5,1.83,3.71,4.96,Moderate,1.93,1.56,,,,,,,,,,,,,0.039735,-0.001143,0.040878,2.7408,,3.6224,4.4722,5.7796,0.215,0.071,0.231,Rich + Thin,,Cheap + Thin,Cheap + Thin,Cheap + Thin,1.8922,0.436,Normal,0.46,0.458,0.458
VWO,2026-03-31,-0.449,-0.4854,Q3 Low Premium  / Low Risk,54.05,2026-04-17,2.1508,31.2435,1.642,34.17,0.9019,38.0725,0.6013,45.389,,,,,,,,,,2026-05-15,3.2069,30.43,2.806,33.3573,1.4647,36.2837,0.9713,47.34,2026-06-18,4.2206,31.731,3.654,32.9505,2.012,37.3405,1.2643,42.1373,2026-09-18,5.535,30.7553,5.6984,33.487,2.7752,34.17,1.4339,40.511,3.68,2.15,1.53,0.4531,0.0688,0.0856,,,,,,,6.26,3.21,3.05,0.4868,0.1054,0.1276,7.15,4.22,2.93,0.4024,0.133,0.1679,8.74,5.53,3.2,0.3448,0.18,0.2202,0.2629,0.2513,0.2028,0.3124,1.243,0.0611,Rich Vol,,,,,0.3043,1.211,0.053,Rich Vol,0.3173,1.262,0.066,Rich Vol,0.3076,1.224,0.0562,Rich Vol,1,0.73,3.57,3.57,Normal,4,1.47,3.03,3.57,Normal,1.51,1.22,,,,,,,,,,,,,0.046027,-2.1e-05,0.046048,2.049,,3.1267,4.1073,5.5677,0.344,0.511,0.339,Rich + Thin,,Rich + Thin,Rich + Thin,Rich + Thin,1.4466,0.259,Normal,0.255,0.255,0.253
NDAQ,2026-03-31,-0.4491,-0.3977,Q3 Low Premium  / Low Risk,84.89,2026-04-17,2.2264,27.829,1.3841,30.755,0.9718,36.609,0.6921,46.8525,,,,,,,,,,2026-05-15,3.1688,29.292,2.5621,32.7065,1.2369,39.536,0.5743,47.8285,2026-06-18,4.1112,28.3165,3.5193,31.243,2.1057,34.6575,1.2369,37.5845,2026-09-18,4.8622,28.3165,4.869,30.43,2.7536,31.731,1.443,33.194,4.39,2.23,2.17,0.6079,0.08,0.0758,,,,,,,5.57,3.17,2.4,0.4501,0.1082,0.1078,7.1,4.11,2.99,0.448,0.1452,0.1399,8.88,4.86,4.02,0.3807,0.1717,0.1654,0.2379,0.2939,0.343,0.2783,0.947,-0.0156,Equiv. Vol,,,,,0.2929,0.997,-0.001,Equiv. Vol,0.2832,0.963,-0.0107,Equiv. Vol,0.2832,0.963,-0.0107,Equiv. Vol,1,0.73,5.33,5.33,Normal,3,1.1,6.56,9.87,Normal,1.77,1.43,,,,,,,,,,,,,0.037272,3.6e-05,0.037236,2.0579,,3.0475,3.9928,4.8636,0.178,0.571,0.178,Cheap + Efficient,,Cheap + Thin,Cheap + Thin,Cheap + Thin,1.7303,0.372,Normal,0.404,0.403,0.401
CRH,2026-03-31,-0.454,-0.2228,Q3 Low Premium  / Low Risk,105.12,2026-04-10,2.0132,37.584,1.4349,40.8363,1.0226,44.414,,,2026-05-01,3.6787,38.365,2.4496,44.9015,,,,,2026-05-15,4.1476,38.56,2.949,40.999,1.7599,46.0397,0.8443,55.145,2026-06-18,5.6221,38.072,3.8686,39.8607,2.3307,41.9745,1.3199,48.316,2026-09-18,7.2425,37.259,5.8386,38.804,3.7219,41.9745,2.2831,43.438,3.89,2.01,1.88,0.5195,0.0536,0.0593,6.58,3.68,2.9,0.4891,0.0959,0.1084,7.1,4.15,2.95,0.4355,0.1076,0.1222,9.58,5.62,3.96,0.4494,0.1477,0.1656,12.02,7.24,4.78,0.3917,0.1944,0.2133,0.3692,0.3395,0.3575,0.3758,1.107,0.0364,Equiv. Vol,0.3836,1.13,0.0442,Equiv. Vol,0.3856,1.136,0.0461,Equiv. Vol,0.3807,1.122,0.0412,Equiv. Vol,0.3726,1.098,0.0331,Equiv. Vol,2,1.47,4.25,4.31,Normal,2,0.73,5.01,5.26,Normal,2.04,1.65,,,,,,,,,,,,,0.063886,-6.9e-05,0.063955,1.8975,3.4329,3.9079,5.2714,6.9617,0.648,0.454,0.642,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,2.1197,0.538,Moderate,0.494,0.493,0.492
MRK,2026-03-31,-0.4549,-0.1463,Q3 Low Premium  / Low Risk,120.29,2026-04-10,1.5227,29.1293,1.1569,30.105,0.5861,32.7067,0.2633,40.186,2026-05-01,3.2747,35.1455,2.2363,37.0965,1.54,39.5355,0.8632,40.8363,2026-05-15,4.1982,32.707,2.681,34.658,1.671,36.609,0.7496,43.1127,2026-06-18,4.6513,32.219,3.3149,34.6575,1.8289,37.584,0.9837,42.7877,2026-07-17,5.4306,32.219,3.9176,33.6825,2.3776,35.633,1.084,44.0234,3.12,1.52,1.6,0.5378,0.0523,0.0667,5.75,3.27,2.47,0.4662,0.0932,0.1435,9.08,4.2,4.88,0.6571,0.1284,0.1839,7.84,4.65,3.19,0.4345,0.1444,0.2038,9.47,5.43,4.04,0.4489,0.1686,0.2379,0.2014,0.2283,0.2371,0.2913,1.276,0.063,Rich Vol,0.3515,1.54,0.1232,Very Rich Vol,0.3271,1.433,0.0988,Rich Vol,0.3222,1.411,0.0939,Rich Vol,0.3222,1.411,0.0939,Rich Vol,2,1.47,3.64,3.72,Normal,3,1.1,3.62,3.72,Normal,1.37,1.11,,,,,,,,,,,,,0.044742,0.000142,0.0446,1.4495,3.067,3.8948,4.384,5.128,0.307,0.654,0.299,Rich + Thin,Rich + Thin,Rich + Efficient,Rich + Thin,Rich + Thin,2.1089,0.536,Moderate,0.203,0.198,0.198
AZO,2026-03-31,-0.4556,-0.5372,Q3 Low Premium  / Low Risk,3377.78,2026-04-17,2.2675,31.243,1.4233,32.219,0.8586,32.707,0.4326,42.2998,,,,,,,,,,2026-05-15,3.3515,30.8093,2.6722,31.487,,,,,2026-06-18,4.5653,32.219,3.9974,33.1945,2.2041,34.17,1.0401,37.2593,2026-09-18,6.1205,31.731,5.6778,33.032,3.1372,34.983,1.0312,38.7228,4.87,2.27,2.6,0.6004,0.0726,0.0687,,,,,,,6.29,3.35,2.94,0.483,0.1088,0.1016,7.91,4.57,3.35,0.4385,0.1417,0.1384,10.73,6.12,4.61,0.4104,0.1929,0.1855,0.2589,0.3299,0.3042,0.3124,0.947,-0.0175,Equiv. Vol,,,,,0.3081,0.934,-0.0218,Equiv. Vol,0.3222,0.977,-0.0077,Equiv. Vol,0.3173,0.962,-0.0126,Equiv. Vol,1,0.73,6.53,6.53,Normal,1,0.37,6.53,6.53,Normal,1.98,1.61,,,,,,,,,,,,,0.051845,0.000101,0.051744,2.0987,,3.2156,4.4517,6.032,0.474,0.623,0.47,Cheap + Efficient,,Cheap + Thin,Cheap + Thin,Cheap + Thin,1.2558,0.201,Normal,0.476,0.475,0.478
MAR,2026-03-31,-0.4781,-0.9133,Q3 Low Premium  / Low Risk,327.07,2026-04-10,1.9002,35.3892,1.2663,37.9093,0.7796,40.511,0.3249,47.3405,2026-05-01,3.2246,34.3323,2.767,36.6085,,,0.9096,45.389,2026-05-15,3.698,35.6335,3.5466,39.0475,2.0408,42.9505,0.9822,45.389,2026-06-18,4.9668,35.1455,4.1632,37.259,2.2931,40.999,0.96,46.56,2026-07-17,4.7706,32.3817,4.8104,35.308,2.6676,38.072,1.1435,42.2672,3.46,1.9,1.56,0.4912,0.0537,0.0714,6.0,3.22,2.77,0.4979,0.0939,0.1212,5.86,3.7,2.16,0.3889,0.1038,0.139,8.24,4.97,3.27,0.4186,0.1413,0.1867,8.91,4.77,4.14,0.4204,0.1473,0.1793,0.2688,0.266,0.3051,0.3539,1.33,0.0879,Rich Vol,0.3433,1.291,0.0773,Rich Vol,0.3563,1.339,0.0903,Rich Vol,0.3515,1.321,0.0854,Rich Vol,0.3238,1.217,0.0578,Rich Vol,0,0.0,0.0,3.35,Normal,1,0.37,8.15,8.15,Normal,1.6,1.3,,,,,,,,,,,,,0.039026,-0.000315,0.039341,1.7734,3.1331,3.6677,4.8061,4.7786,0.198,0.256,0.202,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,Rich + Thin,0.2457,0.015,Normal,0.308,0.308,0.311
MCK,2026-03-31,-0.4857,-0.5388,Q3 Low Premium  / Low Risk,865.36,2026-04-17,2.0327,29.7797,1.4503,31.731,0.78,33.682,0.5836,35.633,,,,,,,,,,2026-05-15,3.6246,32.5116,2.6463,34.9015,1.5369,36.8528,0.7316,45.3893,2026-06-18,4.3188,30.43,3.4514,33.0317,1.9183,34.658,0.9038,40.3487,2026-08-21,5.3001,30.7551,4.8015,32.9856,2.1898,36.609,1.2177,38.804,3.55,2.03,1.51,0.4586,0.0683,0.0878,,,,,,,7.18,3.62,3.56,0.5227,0.1115,0.1565,7.55,4.32,3.23,0.4433,0.1419,0.1865,8.87,5.3,3.57,0.3828,0.1723,0.2289,0.2515,0.2315,0.3949,0.2978,1.286,0.0662,Rich Vol,,,,,0.3251,1.404,0.0936,Rich Vol,0.3043,1.314,0.0728,Rich Vol,0.3076,1.328,0.076,Rich Vol,1,0.73,4.96,4.96,Normal,1,0.37,15.29,15.29,Normal,1.39,1.13,,,,,,,,,,,,,0.042583,6.7e-05,0.042516,1.9162,,3.4289,4.1453,5.2004,0.252,0.595,0.252,Rich + Thin,,Rich + Thin,Rich + Thin,Rich + Thin,1.2219,0.188,Normal,0.209,0.208,0.211
EEM,2026-03-31,-0.4871,-0.1499,Q3 Low Premium  / Low Risk,56.79,2026-04-10,2.4564,45.3893,1.4674,37.5843,0.8342,42.2185,0.3346,52.706,2026-04-30,4.1498,43.1127,2.2011,35.1455,1.4938,41.8117,0.6574,46.69,2026-05-15,3.623,32.3817,2.6985,33.9263,1.4483,36.609,0.6284,48.9258,2026-06-18,4.51,31.853,3.3574,31.731,1.9194,34.6578,0.8419,42.2184,2026-09-18,6.2612,33.2637,5.1013,32.7064,2.7668,33.6825,1.7186,39.7308,4.0,2.46,1.55,0.4427,0.0541,0.0748,7.11,4.15,2.96,0.4782,0.0963,0.1263,6.37,3.62,2.75,0.4656,0.1119,0.1103,7.86,4.51,3.35,0.4408,0.1416,0.1373,9.41,6.26,3.15,0.3433,0.1882,0.1906,0.3365,0.3285,0.261,0.4539,1.382,0.1254,Rich Vol,0.4311,1.312,0.1026,Rich Vol,0.3238,0.986,-0.0047,Equiv. Vol,0.3185,0.97,-0.01,Equiv. Vol,0.3326,1.013,0.0041,Equiv. Vol,1,0.73,5.14,5.14,Normal,4,1.47,3.94,5.14,Normal,1.98,1.6,,,,,,,,,,,,,0.044031,-0.001741,0.045772,2.2586,3.7601,3.4381,4.2795,6.0292,0.282,0.042,0.327,Rich + Thin,Rich + Thin,Cheap + Thin,Cheap + Thin,Cheap + Thin,1.7277,0.37,Normal,0.474,0.475,0.474
OTIS,2026-03-31,-0.4927,-0.518,Q3 Low Premium  / Low Risk,77.08,2026-04-17,2.0498,27.829,1.2649,28.804,0.746,33.682,0.4541,38.56,,,,,,,,,,2026-05-15,3.3147,31.731,2.692,34.17,1.4595,35.633,0.746,41.487,2026-06-18,4.1905,29.78,3.5839,31.731,2.1731,32.707,1.2325,37.584,2026-09-18,5.5527,29.78,5.0381,31.0803,2.3028,32.707,1.4595,35.633,3.65,2.05,1.6,0.5044,0.0737,0.0736,,,,,,,6.92,3.31,3.61,0.5162,0.1045,0.119,6.45,4.19,2.26,0.3867,0.1407,0.1504,8.63,5.55,3.07,0.3517,0.1865,0.1993,0.3,0.2786,0.2673,0.2783,0.999,-0.0003,Equiv. Vol,,,,,0.3173,1.139,0.0388,Equiv. Vol,0.2978,1.069,0.0192,Equiv. Vol,0.2978,1.069,0.0192,Equiv. Vol,1,0.73,6.9,6.9,Normal,2,0.73,5.26,6.9,Normal,1.68,1.36,,,,,,,,,,,,,0.046278,0.000193,0.046085,1.8928,,3.1902,4.0692,5.4498,0.354,0.692,0.342,Cheap + Thin,,Cheap + Thin,Cheap + Thin,Cheap + Thin,1.5088,0.285,Normal,0.354,0.357,0.356
